0,1,2,3,4,5
Abbey Park,8.5,26/689,Oakville,,
Acton,6,378/689,Acton,,
Adam Scott,5.4,471/689,Peterborough,,
Agincourt,8.3,41/689,Toronto,,
Ajax,6.9,227/689,Ajax,,
Albert Campbell,7,210/689,Toronto,,
Aldershot,7.9,77/689,Burlington,,
Alexander MacKenzie,7.8,87/689,Richmond Hill,,
Algonquin,5.3,480/689,North Bay,,
All Saints,8.5,26/689,Kanata,,
All Saints,7.3,167/689,Whitby,,
Almaguin Highlands,2.9,645/689,South River,,
Almonte,6.1,357/689,Almonte,,
Ancaster,7.2,181/689,Ancaster,,
Anderson,7.1,194/689,Whitby,,
Ange-Gabriel,8.5,26/689,Brockville,,
Archbishop Denis O'Connor,6.6,273/689,Ajax,,
Archbishop Romero,1.7,674/689,Toronto,,
Arnprior,6,378/689,Arnprior,,
Arthur Voaden,2.1,666/689,St Thomas,,
Ascension of Our Lord,6,378/689,Mississauga,,
Assumption,7.1,194/689,Windsor,,
Assumption,7.6,120/689,Burlington,,
Assumption,7.3,167/689,Brantford,,
Athens,2.1,666/689,Athens,,
Atikokan,7.6,120/689,Atikokan,,
Aurora,8.2,52/689,Aurora,,
Banting Memorial,6.1,357/689,Alliston,,
Barrie North,6,378/689,Barrie,,
Bayridge,4.5,562/689,Kingston,,
Bayside,5.8,409/689,Belleville,,
Bayview,8.5,26/689,Richmond Hill,,
Beamsville,5.1,505/689,Beamsville,,
Bear Creek,5.6,443/689,Barrie,,
Beaver Brae,4.1,595/689,Kenora,,
Bell,7.1,194/689,Nepean,,
Belle River,7.2,181/689,Belle River,,
Bernie Custis,1.2,680/689,Hamilton,,
Bill Crothers,8.3,41/689,Unionville,,
Bill Hogarth,8.7,19/689,Markham,,
Birchmount Park,5.2,496/689,Toronto,,
Bishop Alexander Carter,4.5,562/689,Hanmer,,
Bishop Allen,8,66/689,Toronto,,
Bishop Macdonell,7.9,77/689,Guelph,,
Bishop Marrocco/Thomas Merton,3.8,611/689,Toronto,,
Bishop Paul Francis Reding,7.7,102/689,Milton,,
,,,,,
,,,,,
"A B Lucas
                Score:7.6Rank:120/689add_circleAdd to compare",,,,,
"A N Myer
                Score:7.5Rank:138/689add_circleAdd to compare",,,,,
"A Y Jackson
                Score:7.9Rank:77/689add_circleAdd to compare",,,,,
"A.Y. Jackson
                Score:8.2Rank:52/689add_circleAdd to compare",,,,,
