link,strikethrough_price,sold_price,property_type,address,bedrooms,bathrooms,garages
/on/north-york-real-estate/78-spire-hillway-way/home/ZEXrx30KqQn7OklN/,"$883,000","$859,000",Condo Townhouse,"78 Spire Hillway Way , North York - Hillcrest Village",,,
/on/mississauga-real-estate/3272-testimony-sq-w/home/DO1w3WqVpnoy8Jg0/,"$1,347,000","$1,342,000",Detached,"3272 Testimony Sq W , Mississauga - Fairview",,,
/on/vaughan-real-estate/18-givon-st-ground-fl/home/gaQmD7zGaA3J9Bow/,"$1,399,000","$1,503,088",Detached,"18 Givon St , Vaughan - Patterson",,,
/on/etobicoke-real-estate/2704-2230-lake-shore-blvd-w/home/owJKR7PNZZ9YXeLP/,"$829,900","$795,000",Condo Apt,"2704 - 2230 Lake Shore Blvd W , Etobicoke - Mimico",,,
/on/toronto-real-estate/22-8-corinth-gdns/home/BGMnKYqarMbYw1Qr/,"$749,900","$727,000",Co-Op Apt,"22 - 8 Corinth Gdns , Toronto - Mount Pleasant East",,,
/on/ajax-real-estate/29-hickman-rd/home/gaQmD7z9Zm2yJ9Bo/,"$800,000","$825,000",Freehold Townhouse,"29 Hickman Rd , Ajax - South East",,,
/on/markham-real-estate/910-151-upper-duke-cres/home/PXRla7gBW2NyjEvL/,"$578,000","$541,000",Condo Apt,"910 - 151 Upper Duke Cres , Markham - Unionville",,,
/on/toronto-real-estate/1308-395-bloor-st-e/home/obqB176M1ZMyZajD/,"$618,800","$630,000",Condo Apt,"1308 - 395 Bloor St E , Toronto - North St. James Town",,,
/on/mississauga-real-estate/29-2079-the-college-way/home/L5VXv3l0ZwE3j2q8/,"$699,888","$718,000",Condo Townhouse,"29 - 2079 The Collegeway , Mississauga - Erin Mills",,,
/on/markham-real-estate/98-tea-rose-st/home/dXze3eKzBjky8m9K/,"$2,750,000","$2,708,000",Detached,"98 Tea Rose St , Markham - Cachet",,,
/on/toronto-real-estate/1104-319-merton-st/home/N0A9X3jL1z1yvgxV/,"$799,000","$780,000",Condo Apt,"1104 - 319 Merton St , Toronto - Mount Pleasant West",,,
/on/etobicoke-real-estate/150-north-carson-st/home/dXze3eKaKeey8m9K/,"$1,099,000","$1,095,000",Detached,"150 North Carson St , Etobicoke - Alderwood",,,
/on/toronto-real-estate/602-265-ridley-blvd/home/L4KAX7NjAqV7eRPJ/,"$875,000","$860,000",Condo Apt,"602 - 265 Ridley Blvd , Toronto - Bedford Park-Nortown",,,
/on/vaughan-real-estate/152-pelee-ave/home/5xLkv3VxopyDBNrW/,"$1,545,000","$1,530,000",Detached,"152 Pelee Ave , Vaughan - Kleinburg",,,
/on/vaughan-real-estate/17-montcalm-blvd/home/damgL7A491lyZ1MW/,"$1,749,000","$1,680,000",Detached,"17 Montcalm Blvd , Vaughan - Vellore Village",,,
/on/vaughan-real-estate/76-fieldstone-dr/home/5xLkv3VWW0eYDBNr/,"$979,900","$950,000",Freehold Townhouse,"76 Fieldstone Dr , Vaughan - East Woodbridge",,,
/on/toronto-real-estate/505-59-east-liberty-st/home/weQp5yOomJ1yd0ZE/,"$1,229,990","$1,200,000",Condo Apt,"505 - 59 East Liberty St , Toronto - Niagara",,,
/on/etobicoke-real-estate/8-12-applewood-lane/home/gAaOyL8NKoPyGxMb/,"$927,500","$895,000",Condo Townhouse,"8 - 12 Applewood Lane , Etobicoke - Etobicoke West Mall",,,
/on/mississauga-real-estate/2105-1665-the-collegeway/home/DnM697kEPegYbmwe/,"$899,000","$852,000",Condo/Apt Unit,"2105 - 1665 The College , Mississauga - Erin Mills",,,
