link,strikethrough_price,sold_price,property_type,address
/on/toronto-real-estate/295-blackthorn-ave/home/zVwod7vG82j35mGN/,"$980,000","$948,000",Detached,"295 Blackthorn Ave , Toronto - Weston-Pellam Park"
/on/scarborough-real-estate/261-ellington-dr/home/MB5bO3xaA8kYkWVP/,"$799,000","$777,000",Detached,"261 Ellington Dr , Scarborough - Wexford-Maryvale"
/on/toronto-real-estate/572-ridelle-ave/home/NAKv53D9qNkYMnxB/,"$998,000","$950,000",Detached,"572 Ridelle Ave , Toronto - Briar Hill-Belgravia"
/on/toronto-real-estate/357-greer-rd/home/b1DBW7RqdPoyqlAp/,"$1,498,000","$1,520,000",Detached,"357 Greer Rd , Toronto - Lawrence Park North"
/on/toronto-real-estate/25-armour-blvd/home/EeVbOYEAJbGYx2P0/,"$1,499,900","$1,500,000",Detached,"25 Armour Blvd , Toronto - Bedford Park-Nortown"
/on/toronto-real-estate/10-youngmill-dr/home/VgAaOyLbLgZ3GxMb/,"$949,900","$1,020,000",Detached,"10 Youngmill Dr , Toronto - O'Connor-Parkview"
/on/toronto-real-estate/581-soudan-ave/home/0MWBVyZdjXg3Kemj/,"$1,599,000","$1,580,000",Detached,"581 Soudan Ave , Toronto - Mount Pleasant East"
/on/north-york-real-estate/38-rumi-cres/home/2Z5BX3218G47Dar0/,"$875,000","$822,000",Freehold Townhouse,"38 Rumi Cres , North York - Victoria Village"
/on/toronto-real-estate/3-whitney-ave/home/gaQmD7zn8dM7J9Bo/,"$7,450,000","$7,000,000",Detached,"3 Whitney Ave , Toronto - Rosedale-Moore Park"
/on/toronto-real-estate/68-hubbard-blvd/home/ZEXrx30ega4YOklN/,"$1,998,000","$1,975,000",Freehold Townhouse,"68 Hubbard Blvd , Toronto - The Beaches"
/on/toronto-real-estate/879-lansdowne-ave/home/02Zpj39LNOz7DrK8/,"$1,049,000","$1,038,000",Detached,"879 Lansdowne Ave , Toronto - Dovercourt-Wallace Emerson-Junction"
/on/scarborough-real-estate/6-hardcastle-st/home/L5VXv3l8eMO3j2q8/,"$1,149,000","$1,090,000",Detached,"6 Hardcastle St , Scarborough - Ionview"
/on/scarborough-real-estate/36-shandara-cres/home/BDO1w3WWEzd38Jg0/,"$1,560,000","$1,400,000",Detached,"36 Shandara Cres , Scarborough - Wexford-Maryvale"
/on/scarborough-real-estate/1550c-kingston-rd/home/gJRv53K9WMoyVPW4/,"$879,000","$862,000",Condo Townhouse,"1550C Kingston Rd , Scarborough - Birchcliffe-Cliffside"
/on/scarborough-real-estate/44-willowhurst-cres/home/02Zpj39LBvP7DrK8/,"$935,000","$925,000",Detached,"44 Willowhurst Cres , Scarborough - Wexford-Maryvale"
/on/north-york-real-estate/166-playfair-ave-n/home/BGMnKYqaJxBYw1Qr/,"$1,299,000","$1,280,000",Detached,"166 Playfair Ave N , North York - Yorkdale-Glen Park"
/on/scarborough-real-estate/161-greenbrae-crct/home/jJKdOYr42q754lWL/,"$699,000","$750,000",Freehold Townhouse,"161 Greenbrae Crct , Scarborough - Woburn"
/on/scarborough-real-estate/30-french-ave/home/510Qqypa9oD7LGlV/,"$879,900","$960,000",Detached,"30 French Ave , Scarborough - West Hill"
/on/scarborough-real-estate/24-hagley-rd/home/BDO1w3WWMKw38Jg0/,"$799,000","$997,000",Detached,"24 Hagley Rd , Scarborough - Cliffcrest"
/on/toronto-real-estate/325-415-jarvis-st/home/2Z5BX32GP1YDar0z/,"$728,000","$718,000",Condo Townhouse,"325 - 415 Jarvis St , Toronto - Cabbagetown-South St. James Town"
/on/scarborough-real-estate/496-scarborough-golf-clu-rd/home/mLzQ1y5LMokYqdeK/,"$775,000","$740,000",Detached,"496 Scarborough Golf Clu Rd , Scarborough - Woburn"
/on/toronto-real-estate/101-withrow-ave/home/zVwod7vaJLry5mGN/,"$1,149,000","$1,465,000",Semi-Detached,"101 Withrow Ave , Toronto - North Riverdale"
/on/toronto-real-estate/3-34-boston-ave/home/BDO1w3W9RDjy8Jg0/,"$949,000","$955,000",Condo Townhouse,"3 - 34 Boston Ave , Toronto - South Riverdale"
/on/toronto-real-estate/6-delaney-cres/home/6VLaGyG9D403W1ZD/,"$1,075,000","$1,045,000",Semi-Detached,"6 Delaney Cres , Toronto - Little Portugal"
/on/toronto-real-estate/269-heath-st-e/home/EeVbOYE9VrnYx2P0/,"$3,449,000","$3,150,000",Detached,"269 Heath St E , Toronto - Rosedale-Moore Park"
/on/toronto-real-estate/7-837-broadview-ave/home/EeVbOYEDENR3x2P0/,"$1,588,000","$1,525,000",Semi-Detached,"7 - 837 Broadview Ave , Toronto - Playter Estates-Danforth"
/on/toronto-real-estate/2-290-st-clair-ave-w/home/NAKv53DDwOE3MnxB/,"$2,398,000","$2,240,000",Condo Townhouse,"2 - 290 St. Clair Ave W , Toronto - Casa Loma"
/on/north-york-real-estate/7-bamboo-grve-e/home/ZNkKJ3J9z467d4V6/,"$3,150,000","$3,000,000",Detached,"7 Bamboo Grve , North York - Banbury-Don Mills"
/on/scarborough-real-estate/3-lynndale-rd/home/VaD6p78vQE4YwRQr/,"$2,699,000","$2,400,000",Detached,"3 Lynndale Rd , Scarborough - Birchcliffe-Cliffside"
/on/north-york-real-estate/509-37-avondale-ave/home/damgL7Al24VyZ1MW/,"$1,118,000","$1,095,000",Condo Townhouse,"509 - 37 Avondale Ave , North York - Willowdale East"
/on/scarborough-real-estate/15-stavely-ave/home/a6zqW7dzz8VY5eZE/,"$919,000","$850,000",Detached,"15 Stavely Ave , Scarborough - Kennedy Park"
/on/toronto-real-estate/245-holborne-ave/home/DnM697kBXr6ybmwe/,"$599,000","$770,000",Semi-Detached,"245 Holborne Ave , Toronto - Woodbine-Lumsden"
/on/toronto-real-estate/196-scarborough-rd/home/xmZRW7npVv9YEBO9/,"$999,900","$1,025,000",Freehold Townhouse,"196 Scarborough Rd , Toronto - The Beaches"
/on/toronto-real-estate/298-roxton-rd/home/kbEDRYanqW6y1VaB/,"$1,179,000","$1,401,200",Freehold Townhouse,"298 Roxton Rd , Toronto - Palmerston-Little Italy"
/on/toronto-real-estate/233-ridley-blvd/home/0Zaw5YonvO63n961/,"$2,290,300","$2,146,000",Detached,"233 Ridley Blvd , Toronto - Bedford Park-Nortown"
/on/toronto-real-estate/1290-woodbine-ave/home/aBXeEn7XkMyrPo8d/,"$749,900","$742,500",Detached,"1290 Woodbine Ave , Toronto - Danforth Village-East York"
/on/toronto-real-estate/120-berkeley-st/home/owJKR7PQvnB3XeLP/,"$1,050,000","$1,200,000",Semi-Detached,"120 Berkeley St , Toronto - Moss Park"
