,price,address,mls,sqft,Community,beds,baths,Air Conditioning,Heating,Party/Meeting Room,Visitor Parking,Gym,Concierge,Balcony,Indoor Pool,Rooftop Deck/Garden,Party Room,Exercise Room,Storage - Locker,Exercise Centre,Security/Concierge,Visitor Parking,Guest Suites,Sauna,Outdoor Pool,Bbqs Allowed,Concierge,Carpet Free,In suite Laundry
24,679888.0,"913 - 103 THE QUEENSWAY AVENUEToronto (High Park-Swansea), Ontario M6S5B3",W10454136,849.5,High Park-Swansea,2.0,2.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,399800.0,"502 - 60 PAVANE LINKWAY WAYToronto (Flemingdon Park), Ontario M3C1A2",C10454155,849.5,Flemingdon Park,3.0,1.0,Window air conditioner,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,599000.0,"1510 - 30 ORDNANCE STREETToronto (Niagara), Ontario M6K0C8",C10454129,649.5,Niagara,1.0,1.5,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,650000.0,"2301 - 135 ANTIBES DRIVEToronto (Westminster-Branson), Ontario M2R2Z1",C10454134,1299.5,Westminster-Branson,2.0,2.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,799900.0,"31 - 184 WOODY VINE WAYToronto (Bayview Village), Ontario M2J4H5",C10453964,1299.5,Bayview Village,3.0,3.5,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,626000.0,"1116 - 509 BEECROFT ROADToronto (Willowdale West), Ontario M2N0A3",C10454126,749.5,Willowdale West,2.0,1.0,Central air conditioning,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,528900.0,"3001 - 70 ANNIE CRAIG DRIVEToronto (Mimico), Ontario M8V0G2",W10446387,549.5,Mimico,1.0,1.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,585000.0,"1103 - 75 QUEENS WHARF ROAD EToronto (Waterfront Communities), Ontario M5V0J8",C10447613,649.5,Waterfront Communities C1,2.0,1.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,999900.0,"S305 - 8 OLYMPIC GDN DRIVEToronto (Newtonbrook East), Ontario M2M0B9",C10447471,1099.5,Newtonbrook East,3.0,3.5,Central air conditioning,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33,629000.0,"2712 - 251 JARVIS STREETToronto (Moss Park), Ontario M5B0C3",C10445471,549.5,Moss Park,2.0,1.0,Central air conditioning,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,900000.0,"44 LADYSBRIDGE DRIVEToronto (Morningside), Ontario M1G3H7",E10442857,1300.0,Morningside,3.0,2.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1274900.0,"48 WESTBROOK AVENUEToronto (Woodbine-Lumsden), Ontario M4C2G4",E10442840,1300.0,Woodbine-Lumsden,3.0,4.0,Central air conditioning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,785000.0,"2505 - 159 DUNDAS STREET EToronto (Church-Yonge Corridor), Ontario M5B1E4",C10442881,749.5,Church-Yonge Corridor,2.0,2.0,Central air conditioning,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
