price,address,mls,Calculated_sqft,Square Footage
2895000,42 Waverley Road,E10441630,1938.08540338,
1149000,16 Lockerbie Avenue,W10441611,1128.82633885,
1499000,26 Saybrook Avenue,W10441609,1300.0,
1599000,103 Holcolm Road,C10441469,1300.0,
980000,27 Manorwood Road,E10441356,2447.74207531,
999000,412 Valermo Drive,W10441259,1300.0,
1399000,50 Bain Avenue,E10441208,1090.167792,
1049000,3 Paragon Road,W10441161,1591.31883015,
1589000,265 Hastings Avenue,E10441028,2131.9486243300003,
799999,739 Vaughan Road,C10440982,477.09264526,
1399000,2 Norcross Road,C10440955,1589.58153669,
979000,14 Gray Avenue,W10441029,891.10883652,
999999,15 Stock Avenue,W10440802,900.0,
1098000,322 East Avenue,E10440712,1869.87456908,
2775000,59 Montressor Drive,C10440953,2259.4793115299994,
3750000,84 Blantyre Avenue,E10440897,2216.9758996,
1568000,75 Stormont Avenue,C10440835,990.76425189,
1230000,90 Stephen Drive,W10440785,1627.9645277000002,
2050000,85 Oakridge Drive,E10440850,4250.0,
1850000,123 Gore Vale Avenue,C10440586,1363.9906441,
14500000,106 Glenayr Road,C10440506,4586.240532789999,
969000,76 Muriel Avenue,E10434123,1007.20395636,
1149000,11 Janellan Terrace N,E10434018,2222.37614823,
940000,59 Fairfield Avenue,W10433910,1300.0,
999000,174 Gamble Avenue,E10433876,1293.05546671,
819000,378 O'connor Drive,E10433860,803.5552739200001,
7980000,70 Banbury Road,C10433835,4692.78161499,
1749000,2 Josephine Road,C10433823,1989.96632499,
3650000,17 High Park Gardens,W10433707,4250.0,
1255000,50 King High Avenue,C10433691,1300.0,
2595000,188 Keewatin Avenue,C10433685,1967.1780723,
1589000,61 Fulbert Crescent,E10433643,2750.0,
999000,15 Farnsworth Drive,W10433571,1300.0,
2699000,53 Parkhurst Boulevard E,C10433564,2250.0,
9600000,77 Coldstream Avenue,C10433534,4250.0,
1599000,297 Bain Avenue,E10433527,1922.970735,
1799000,44 Endean Avenue,E10433426,1750.0,
1599990,34 Loggerhead Grove,E10433404,2750.0,
3995000,6 Lyall Avenue,E10433306,4250.0,
999000,39 Graybark Crescent,E10433216,1336.18533762,
499000,35 Kenworthy Avenue,E10433127,693.78502172,
2150000,198 B Moore Avenue,C10433093,1750.0,
1049888,39 Buckley Crescent,W10433024,1494.1154312,
3188000,56 Magpie Crescent,C10432977,2451.9389199199995,
1099900,39 Century Drive,E10432916,1203.59131186,
3150000,6 Lailey Crescent,C10432761,4250.0,
1950000,169 Ashdale Avenue,E10432640,2250.0,
999900,25 Armitage Drive,E10432557,1543.3215236599997,
1299000,27 Charleston Road,W10432544,2589.1248254199995,
2799900,24 Carousel Court,W10432534,2377.2256136299998,
1039900,9 Avon Park Drive,W10432524,480.5812252500001,
3789900,170 Burndale Avenue,C10432520,4250.0,
1199000,7 Canton Avenue,W10432494,1750.0,
1249000,111 Camborne Avenue,W10432341,1992.92316832,
1079900,56 Elfreda Boulevard,E10432318,1348.96962165,
2089000,15 Edgewood Grove,E10432266,2138.2110613500004,
939000,195 Phyllis Avenue,E10432118,1023.2744590599998,
3479000,476 Bedford Park Avenue,C10432104,3250.0,
2634000,4 Pinehurst Crescent,W10432089,1498.8386305199997,
2990000,26 Dunedin Drive,W10432065,2688.0375316900004,
1588000,19 Tobruk Crescent,C10431977,1589.08639729,
899900,118 Glencrest Boulevard,E10431934,1750.0,
1288800,60 Bushey Avenue,W10431908,1230.16522818,
1230000,9 Ivy Green Crescent,E10431880,1750.0,
4595000,279 Blythwood Road,C10431831,3250.0,
4188000,225 Dunforest Avenue,C10431769,4250.0,
789000,2800 Weston Road,W10431735,1176.3005197999998,
2585000,10 Stuart Avenue,C10431702,3250.0,
1399000,52 Roxanne Crescent,E10431638,2250.0,
1299900,293 Melrose Street,W10431568,839.7165959700001,
1499999,6 Beaumaris Crescent,W10431496,1269.54387994,
1277000,16 Arkley Crescent,W10431461,1628.5274796700005,
799900,49 Hillary Avenue,W10431401,2089.41076792,
1159900,79 Natal Avenue,E10431295,953.17133114,
1399000,361 Maple Leaf Drive,W10431253,1884.45642441,
1629000,171 Sloane Avenue,C10431192,2250.0,
