,Neighbourhood,Type,Count
155,Golfdale-Cedarbrae-Woburn,Detached,25
156,Greenwood-Coxwell,Condo Apt,3
157,Greenwood-Coxwell,Detached,12
158,Greenwood-Coxwell,Freehold Townhouse,1
159,Greenwood-Coxwell,Semi-Detached,8
160,Guildwood,Condo Apt,1
161,Guildwood,Condo Townhouse,3
162,Guildwood,Detached,14
163,Harbourfront-CityPlace,Condo Apt,50
164,Henry Farm,Condo Apt,35
165,Henry Farm,Condo Townhouse,2
166,Henry Farm,Detached,2
167,Henry Farm,Parking Space,1
168,High Park North,Condo Apt,6
169,High Park North,Condo/Apt Unit,2
170,High Park North,Detached,8
171,High Park North,Semi-Detached,3
172,High Park-Swansea,Condo Apt,13
173,High Park-Swansea,Detached,16
174,Highland Creek,Detached,25
175,Highland Creek,Freehold Townhouse,1
176,Hillcrest Village,Condo Apt,3
177,Hillcrest Village,Condo Townhouse,2
178,Hillcrest Village,Detached,12
179,Hillcrest Village,Semi-Detached,2
180,Humber Bay Shores,Condo Apt,34
181,Humber Bay Shores,Condo Townhouse,2
182,Humber Heights-Westmount,Condo Apt,6
183,Humber Heights-Westmount,Detached,12
184,Humber Summit,Condo Apt,1
185,Humber Summit,Detached,6
186,Humber Summit,Semi-Detached,9
187,Humbermede,Condo Townhouse,1
188,Humbermede,Detached,8
189,Humbermede,Semi-Detached,5
190,Humewood-Cedarvale,Condo Apt,1
191,Humewood-Cedarvale,Detached,9
192,Humewood-Cedarvale,Semi-Detached,3
193,Ionview,Detached,4
194,Ionview,Freehold Townhouse,1
195,Ionview,Semi-Detached,1
196,Islington,Condo Apt,8
197,Islington,Condo Townhouse,1
198,Islington,Detached,25
199,Junction Area,Condo Apt,6
200,Junction Area,Detached,7
201,Junction Area,Duplex,1
202,Junction Area,Semi-Detached,1
203,Junction-Wallace Emerson,Condo Apt,3
204,Junction-Wallace Emerson,Condo Townhouse,3
205,Junction-Wallace Emerson,Detached,8
206,Junction-Wallace Emerson,Freehold Townhouse,5
207,Junction-Wallace Emerson,Semi-Detached,6
208,Keelesdale-Eglinton West,Condo Apt,1
209,Keelesdale-Eglinton West,Detached,17
210,Keelesdale-Eglinton West,Freehold Townhouse,1
211,Keelesdale-Eglinton West,Semi-Detached,2
212,Kennedy Park,Condo Apt,5
213,Kennedy Park,Detached,16
214,Kennedy Park,Semi-Detached,1
215,Kensington-Chinatown,Condo Apt,11
216,Kensington-Chinatown,Detached,1
217,Kensington-Chinatown,Freehold Townhouse,1
218,Kingsview Village-The Westway,Condo Apt,5
219,Kingsview Village-The Westway,Detached,11
220,Kingsway South,Condo Apt,2
221,Kingsway South,Detached,21
222,L'Amoreaux West,Condo Apt,7
223,L'Amoreaux West,Condo Townhouse,2
224,L'Amoreaux West,Detached,8
225,L'Amoreaux West,Semi-Detached,1
226,Lambton Baby Point,Detached,12
227,Lambton Baby Point,Semi-Detached,4
228,Lansing-Westgate,Condo Apt,13
229,Lansing-Westgate,Detached,32
230,Lawrence Park North,Condo Apt,1
231,Lawrence Park North,Detached,25
232,Lawrence Park North,Semi-Detached,5
233,Lawrence Park South,Detached,32
234,Leaside-Bennington,Condo Townhouse,1
235,Leaside-Bennington,Detached,19
236,Leaside-Bennington,Semi-Detached,5
237,Little Portugal,Condo Apt,12
238,Little Portugal,Condo Townhouse,3
239,Little Portugal,Detached,10
240,Little Portugal,Semi-Detached,1
241,Long Branch,Condo Townhouse,9
242,Long Branch,Detached,8
243,Long Branch,Freehold Townhouse,1
244,Malvern East,Condo Apt,4
245,Malvern East,Condo Townhouse,8
246,Malvern East,Detached,10
247,Malvern East,Freehold Townhouse,2
248,Malvern East,Link,2
249,Malvern East,Semi-Detached,5
250,Malvern West,Condo Apt,3
251,Malvern West,Condo Townhouse,4
252,Malvern West,Detached,4
253,Maple Leaf,Detached,11
254,Markland Wood,Condo Apt,2
255,Markland Wood,Condo Townhouse,1
256,Markland Wood,Detached,14
257,Milliken,Condo Apt,4
258,Milliken,Detached,20
259,Milliken,Link,1
260,Mimico-Queensway,Condo Apt,13
261,Mimico-Queensway,Condo Townhouse,4
262,Mimico-Queensway,Detached,13
263,Mimico-Queensway,Freehold Townhouse,3
264,Mimico-Queensway,Semi-Detached,3
265,Mimico-Queensway,Store W/Apt/Office,1
266,Morningside,Condo Apt,1
267,Morningside,Condo Townhouse,2
268,Morningside,Detached,13
269,Morningside Heights,Condo Townhouse,4
270,Morningside Heights,Detached,16
271,Moss Park,Condo Apt,36
272,Moss Park,Condo Townhouse,2
273,Moss Park,Detached,2
274,Moss Park,Freehold Townhouse,6
275,Moss Park,Multiplex,1
276,Moss Park,Office,1
277,Mount Dennis,Condo Townhouse,1
278,Mount Dennis,Detached,5
279,Mount Olive-Silverstone-Jamestown,Condo Apt,14
280,Mount Olive-Silverstone-Jamestown,Detached,20
281,Mount Olive-Silverstone-Jamestown,Semi-Detached,3
282,Mount Pleasant East,Co-Op Apt,2
283,Mount Pleasant East,Commercial/Retail,1
284,Mount Pleasant East,Detached,16
285,Mount Pleasant East,Semi-Detached,7
286,New Toronto,Condo Apt,3
287,New Toronto,Condo Townhouse,1
288,New Toronto,Detached,5
289,New Toronto,Semi-Detached,1
290,New Toronto,Triplex,1
291,Newtonbrook East,Condo Apt,18
292,Newtonbrook East,Detached,30
293,Newtonbrook East,Freehold Townhouse,1
294,Newtonbrook West,Condo Apt,12
295,Newtonbrook West,Condo Townhouse,2
296,Newtonbrook West,Detached,24
297,Newtonbrook West,Semi-Detached,4
298,North Riverdale,Detached,3
299,North Riverdale,Semi-Detached,4
300,North Toronto,Condo Apt,21
301,Oakdale-Beverley Heights,Condo Apt,1
302,Oakdale-Beverley Heights,Detached,15
303,Oakridge,Detached,6
304,Oakwood Village,Condo Apt,1
305,Oakwood Village,Detached,30
