link,strikethrough_price,sold_price,property_type,address
/on/toronto-real-estate/332-st-johns-rd/home/kbEDRYaQ5mAY1VaB/,"$1,149,000","$1,412,000",Detached,"332 St Johns Rd , Toronto - Runnymede-Bloor West Village"
/on/toronto-real-estate/744-woodbine-ave/home/K8OgYBVKkJzYJmG2/,"$725,000","$700,000",Semi-Detached,"744 Woodbine Ave , Toronto - Woodbine Corridor"
/on/toronto-real-estate/537-hillsdale-ave-e/home/0ZxwR7Mz9OB3KabB/,"$1,735,000","$1,685,000",Detached,"537 Hillsdale Ave E , Toronto - Mount Pleasant East"
/on/toronto-real-estate/402-woodfield-rd/home/weQp5yOmrEB3d0ZE/,"$899,900","$1,060,000",Detached,"402 Woodfield Rd , Toronto - Greenwood-Coxwell"
/on/toronto-real-estate/299-kane-ave/home/L4KAX7NNoMP7eRPJ/,"$798,000","$940,000",Detached,"299 Kane Ave , Toronto - Keelesdale-Eglinton West"
/on/toronto-real-estate/254-cranbrooke-ave/home/LzQ1y5E9X2myqdeK/,"$1,550,000","$1,565,000",Detached,"254 Cranbrooke Ave , Toronto - Lawrence Park North"
/on/toronto-real-estate/17-taunton-rd/home/56k97wqo9d1YKRjD/,"$1,249,900","$1,410,000",Detached,"17 Taunton Rd , Toronto - Mount Pleasant East"
/on/toronto-real-estate/home/eQp5yO82WLv7d0ZE/,$-,,,"116 Roxborough Dr , Toronto - Rosedale-Moore Park"
/on/toronto-real-estate/home/0J6Em7bAn6GyXBeq/,$-,,,"849 Coxwell Ave , Toronto - Danforth Village-East York"
/on/north-york-real-estate/2-slidell-cres/home/eVbOYEp2zPd3x2P0/,"$878,800","$821,000",Semi-Detached,"2 Slidell Cres , North York - Parkwoods-Donalda"
/on/scarborough-real-estate/21-scotia-ave/home/knbq6y1GmQx3o9DA/,"$699,999","$730,000",Semi-Detached,"21 Scotia Ave , Scarborough - Oakridge"
/on/toronto-real-estate/234-bingham-ave/home/gaQmD7z0BP4YJ9Bo/,"$1,249,999","$1,150,000",Semi-Detached,"234 Bingham Ave , Toronto - East End-Danforth"
/on/toronto-real-estate/134-banff-rd/home/oK8OgYBngnXYJmG2/,"$1,249,000","$1,225,000",Detached,"134 Banff Rd , Toronto - Mount Pleasant East"
/on/toronto-real-estate/16-pendrith-st/home/a6zqW7dnDNVY5eZE/,"$1,275,000","$1,248,000",Semi-Detached,"16 Pendrith St , Toronto - Dovercourt-Wallace Emerson-Junction"
/on/scarborough-real-estate/28-samya-crt/home/VLaGyG2EmvGYW1ZD/,"$799,999","$958,000",Detached,"28 Samya Crt , Scarborough - Wexford-Maryvale"
/on/toronto-real-estate/49-o-connor-dr/home/aQmD7znO9pM7J9Bo/,"$849,900","$955,000",Detached,"49 O'Connor Dr , Toronto - East York"
/on/scarborough-real-estate/161-heale-ave-e/home/RdXze3e9QRO38m9K/,"$1,099,900","$1,050,000",Detached,"161 Heale Ave E , Scarborough - Birchcliffe-Cliffside"
/on/toronto-real-estate/1737-dundas-st-e/home/aD6p7811oo63wRQr/,"$1,199,000","$1,370,000",Semi-Detached,"1737 Dundas St E , Toronto - Greenwood-Coxwell"
/on/north-york-real-estate/269-david-dunlap-circ/home/xmZRW7n2pVo7EBO9/,"$1,099,900","$1,250,000",Freehold Townhouse,"269 David Dunlap Circ , North York - Banbury-Don Mills"
/on/north-york-real-estate/5-48-three-valleys-dr/home/dXze3eKEDzvy8m9K/,"$699,000","$750,000",Condo Townhouse,"5 - 48 Three Valleys Dr , North York - Parkwoods-Donalda"
/on/scarborough-real-estate/21-mcintosh-st/home/2Z5BX32xjD1yDar0/,"$949,900","$921,000",Detached,"21 Mcintosh St , Scarborough - Birchcliffe-Cliffside"
/on/toronto-real-estate/120-glenview-ave/home/dXawjy46Q63rR184/,"$3,650,000","$3,430,000",Detached,"120 Glenview Ave , Toronto - Lawrence Park South"
/on/toronto-real-estate/32-lemay-rd/home/AKv53DDPG6j3MnxB/,"$1,499,000","$1,700,000",Semi-Detached,"32 Lemay Rd , Toronto - Mount Pleasant East"
/on/scarborough-real-estate/41-janet-blvd/home/N0A9X3jreVm3vgxV/,"$1,099,000","$1,085,000",Detached,"41 Janet Blvd , Scarborough - Wexford-Maryvale"
/on/toronto-real-estate/32-foxbar-rd/home/L5VXv3lKmLV7j2q8/,"$2,450,000","$2,456,000",Detached,"32 Foxbar Rd , Toronto - Yonge-St. Clair"
/on/scarborough-real-estate/24-stevenvale-dr/home/aD6p781eZ1z3wRQr/,"$1,049,000","$1,025,786",Detached,"24 Stevenvale Dr , Scarborough - Woburn"
/on/toronto-real-estate/219-boon-ave/home/NAKv53DvW6yMnxBV/,"$1,395,000","$1,310,000",Semi-Detached,"219 Boon Ave , Toronto - Corso Italia-Davenport"
/on/toronto-real-estate/518-25-laidlaw-st/home/damgL7ADoD2yZ1MW/,"$1,329,900","$1,298,000",Condo Townhouse,"518 - 25 Laidlaw St , Toronto - South Parkdale"
/on/toronto-real-estate/79-marmot-st/home/EeVbOYEDXdB3x2P0/,"$1,999,999","$1,950,000",Detached,"79 Marmot St , Toronto - Mount Pleasant East"
/on/toronto-real-estate/104-roosevelt-road/home/amgL7A4vempyZ1MW/,"$949,800","$955,000",Detached,"104 Roosevelt Rd , Toronto - Danforth Village-East York"
/on/toronto-real-estate/132-shuter-st/home/Xawjy41OBaB7rR18/,"$1,450,000","$1,280,000",Freehold Townhouse,"132 Shuter St , Toronto - Moss Park"
/on/toronto-real-estate/51-hewitt-ave/home/zVwod7vX922Y5mGN/,"$3,850,000","$3,700,000",Detached,"51 Hewitt Ave , Toronto - High Park-Swansea"
/on/scarborough-real-estate/20-bayard-ave/home/BXeEn7X2V6MYrPo8/,"$940,000","$900,000",Detached,"20 Bayard Ave , Scarborough - Wexford-Maryvale"
/on/toronto-real-estate/163-balsam-ave/home/J6Em7bnxm4Q7XBeq/,"$1,689,000","$1,620,000",Detached,"163 Balsam Ave , Toronto - The Beaches"
/on/toronto-real-estate/117-westmount-ave/home/Zaw5Yo5a9pD7n961/,"$1,269,900","$1,520,000",Detached,"117 Westmount Ave , Toronto - Corso Italia-Davenport"
/on/toronto-real-estate/508-pape-ave/home/02Zpj39G6wPyDrK8/,"$989,000","$1,245,000",Semi-Detached,"508 Pape Ave , Toronto - North Riverdale"
/on/north-york-real-estate/50-dorsey-dr/home/ZxwR7MwJQOxYKabB/,"$999,000","$940,000",Detached,"50 Dorsey Dr , North York - Maple Leaf"
/on/toronto-real-estate/14-columbine-ave/home/a6zqW7dJbVPY5eZE/,"$1,799,000","$1,794,000",Semi-Detached,"14 Columbine Ave , Toronto - The Beaches"
/on/north-york-real-estate/2706-bayview-ave/home/b1DBW7R2M17qlApz/,"$4,998,000","$5,199,000",Detached,"2706 Bayview Ave , North York - St. Andrew-Windfields"
/on/toronto-real-estate/124-coxwell-ave/home/02Zpj39EgXM3DrK8/,"$1,049,000","$980,000",Semi-Detached,"124 Coxwell Ave , Toronto - Greenwood-Coxwell"
/on/scarborough-real-estate/30-glenda-rd/home/L5VXv3ljpbgyj2q8/,"$969,000","$950,000",Semi-Detached,"30 Glenda Rd , Scarborough - Scarborough Village"
